timestamp,wall,channel,direction,hex,text
0.0,2026-08-18T14:00:00.000Z,A,TX,2A 49 44 4E 3F 0D 0A,*IDN?
25.0,2026-08-18T14:00:00.025Z,A,RX,47 52 45 45 4E 20 53 48 4F 45 20 49 4E 53 54 52 55 4D 45 4E 54 53 2C 4C 47 2D 54 45 4D 50 2C 30 31 34 32 2C 31 2E 37 0D 0A,"GREEN SHOE INSTRUMENTS,LG-TEMP,0142,1.7"
325.0,2026-08-18T14:00:00.325Z,A,TX,4D 45 41 53 3A 54 45 4D 50 3F 0D 0A,MEAS:TEMP?
350.0,2026-08-18T14:00:00.350Z,A,RX,32 32 2E 34 31 38 2C 43 0D 0A,"22.418,C"
650.0,2026-08-18T14:00:00.650Z,A,TX,53 59 53 54 3A 45 52 52 3F 0D 0A,SYST:ERR?
675.0,2026-08-18T14:00:00.675Z,A,RX,30 2C 22 4E 6F 20 65 72 72 6F 72 22 0D 0A,"0,""No error"""
975.0,2026-08-18T14:00:00.975Z,A,TX,4D 45 41 53 3A 56 4F 4C 54 3F 0D 0A,MEAS:VOLT?
1000.0,2026-08-18T14:00:01.000Z,A,RX,31 32 2E 30 33 37 2C 56 0D 0A,"12.037,V"
1300.0,2026-08-18T14:00:01.300Z,A,TX,2A 49 44 4E 3F 0D 0A,*IDN?
1328.0,2026-08-18T14:00:01.328Z,A,RX,47 52 45 45 4E 20 53 48 4F 45 20 49 4E 53 54 52 55 4D 45 4E 54 53 2C 4C 47 2D 54 45 4D 50 2C 30 31 34 32 2C 31 2E 37 0D 0A,"GREEN SHOE INSTRUMENTS,LG-TEMP,0142,1.7"
1628.0,2026-08-18T14:00:01.628Z,A,TX,4D 45 41 53 3A 54 45 4D 50 3F 0D 0A,MEAS:TEMP?
1656.0,2026-08-18T14:00:01.656Z,A,RX,32 32 2E 34 31 38 2C 43 0D 0A,"22.418,C"
1956.0,2026-08-18T14:00:01.956Z,A,TX,53 59 53 54 3A 45 52 52 3F 0D 0A,SYST:ERR?
1984.0,2026-08-18T14:00:01.984Z,A,RX,30 2C 22 4E 6F 20 65 72 72 6F 72 22 0D 0A,"0,""No error"""
2284.0,2026-08-18T14:00:02.284Z,A,TX,4D 45 41 53 3A 56 4F 4C 54 3F 0D 0A,MEAS:VOLT?
2312.0,2026-08-18T14:00:02.312Z,A,RX,31 32 2E 30 33 37 2C 56 0D 0A,"12.037,V"
2612.0,2026-08-18T14:00:02.612Z,A,TX,2A 49 44 4E 3F 0D 0A,*IDN?
2643.0,2026-08-18T14:00:02.643Z,A,RX,47 52 45 45 4E 20 53 48 4F 45 20 49 4E 53 54 52 55 4D 45 4E 54 53 2C 4C 47 2D 54 45 4D 50 2C 30 31 34 32 2C 31 2E 37 0D 0A,"GREEN SHOE INSTRUMENTS,LG-TEMP,0142,1.7"
2943.0,2026-08-18T14:00:02.943Z,A,TX,4D 45 41 53 3A 54 45 4D 50 3F 0D 0A,MEAS:TEMP?
2974.0,2026-08-18T14:00:02.974Z,A,RX,32 32 2E 34 31 38 2C 43 0D 0A,"22.418,C"
3274.0,2026-08-18T14:00:03.274Z,A,TX,53 59 53 54 3A 45 52 52 3F 0D 0A,SYST:ERR?
3305.0,2026-08-18T14:00:03.305Z,A,RX,30 2C 22 4E 6F 20 65 72 72 6F 72 22 0D 0A,"0,""No error"""
3605.0,2026-08-18T14:00:03.605Z,A,TX,4D 45 41 53 3A 56 4F 4C 54 3F 0D 0A,MEAS:VOLT?
3636.0,2026-08-18T14:00:03.636Z,A,RX,31 32 2E 30 33 37 2C 56 0D 0A,"12.037,V"
3936.0,2026-08-18T14:00:03.936Z,A,TX,2A 49 44 4E 3F 0D 0A,*IDN?
3970.0,2026-08-18T14:00:03.970Z,A,RX,47 52 45 45 4E 20 53 48 4F 45 20 49 4E 53 54 52 55 4D 45 4E 54 53 2C 4C 47 2D 54 45 4D 50 2C 30 31 34 32 2C 31 2E 37 0D 0A,"GREEN SHOE INSTRUMENTS,LG-TEMP,0142,1.7"
4270.0,2026-08-18T14:00:04.270Z,A,TX,4D 45 41 53 3A 54 45 4D 50 3F 0D 0A,MEAS:TEMP?
4304.0,2026-08-18T14:00:04.304Z,A,RX,32 32 2E 34 31 38 2C 43 0D 0A,"22.418,C"
4604.0,2026-08-18T14:00:04.604Z,A,TX,53 59 53 54 3A 45 52 52 3F 0D 0A,SYST:ERR?
4638.0,2026-08-18T14:00:04.638Z,A,RX,30 2C 22 4E 6F 20 65 72 72 6F 72 22 0D 0A,"0,""No error"""
4938.0,2026-08-18T14:00:04.938Z,A,TX,4D 45 41 53 3A 56 4F 4C 54 3F 0D 0A,MEAS:VOLT?
4972.0,2026-08-18T14:00:04.972Z,A,RX,31 32 2E 30 33 37 2C 56 0D 0A,"12.037,V"
